area,area_type,district_code,house_number,legal_description,locality,nature_of_property,postcode,primary_purpose,property_id,property_name,strata_lot_number,street_name,unit_number,zoning
,,139,162 G,18/SP62772,CONCORD,R,2137,RESIDENCE,1449270,THE YORK,18,BURWOOD RD,18,
354.3,M,139,162 A,12/270150,CONCORD,R,2137,RESIDENCE,1449297,,,BURWOOD RD,3,R3
,,139,23,2/SP63027,CABARITA,R,2137,RESIDENCE,1449475,THE POINT,2,KENDALL INLET,102,
,,139,24,7/SP63025,CABARITA,R,2137,RESIDENCE,1449497,,7,KENDALL INLET,206,
,,139,17,51/SP50237,CONCORD,3,2137,MARINA BERTH,1449534,138 WESTPORT MARINA,51,CABARITA RD,51,
,,139,23,1/SP6497,NORTH STRATHFIELD,R,2137,RESIDENCE,1449697,,1,CARRINGTON ST,1,
,,139,3,13/SP56970,CONCORD WEST,R,2138,RESIDENCE,1450158,KINGS COURT,13,CONCORD AVE,13,
,,139,107,9/SP181464/SP181475/SP1814,CONCORD,R,2137,RESIDENCE,1450213,CAR PORT,75,CONCORD RD,9,
,,139,141,12/SP64384,NORTH STRATHFIELD,R,2137,RESIDENCE,1450311,,12,CONCORD RD,12,
,,139,253,7/SP2392,CONCORD WEST,R,2138,RESIDENCE,1450356,,7,CONCORD RD,7,
,,139,482,1/SP49061,RHODES,R,2138,RESIDENCE,1450469,,1,CONCORD RD,1,
,,139,108,11/SP1758,NORTH STRATHFIELD,R,2137,RESIDENCE,1450636,,11,CONCORD RD,11,
,,139,84,1/SP7281,NORTH STRATHFIELD,R,2137,RESIDENCE,1450659,,1,CONCORD RD,1,
,,139,60,4/SP7775,NORTH STRATHFIELD,R,2137,RESIDENCE,1450678,,4,CONCORD RD,4,
,,139,30 B,1/SP172482/SP172483/SP172484/SP172485/SP172486/SP17248,STRATHFIELD,R,2135,RESIDENCE,1450860,,6,COOPER ST,6,
,,139,28,1/SP16085,STRATHFIELD,R,2135,RESIDENCE,1450869,,1,COOPER ST,1,
,,139,1,3/SP7912,CONCORD,R,2137,RESIDENCE,1450882,,3,CORBY AVE,3,
,,139,2,8/SP8175,CONCORD,R,2137,RESIDENCE,1450926,,8,CORBY AVE,8,
,,139,22,4/SP7555,CONCORD,R,2137,RESIDENCE,1451152,,4,CRANE ST,4,
,,139,7,7/SP7638,RHODES,R,2138,RESIDENCE,1451204,,7,CROPLEY ST,7,
,,139,15,7/SP8662,RHODES,R,2138,RESIDENCE,1451216,,7,CROPLEY ST,7,
471.3,M,139,6,100/883926,CONCORD,R,2137,RESIDENCE,1451329,,,CURTIN PL,1,R2
255.6,M,139,1 A,5/285566,CONCORD,R,2137,RESIDENCE,1451656,,,DURHAM ST,5,R2
323.7,M,139,1 A,2/285566,CONCORD,R,2137,RESIDENCE,1451657,,,DURHAM ST,2,R2
,,139,2,18/SP5152,CONCORD,R,2137,RESIDENCE,1451868,,18,EVELYN AVE,18,
,,139,1,12/SP507414/SP5074,CONCORD,R,2137,RESIDENCE,1451897,,14,EVELYN AVE,14,
,,139,2,11/SP5449,CONCORD,R,2137,RESIDENCE,1451982,,11,FINCH AVE,11,
,,139,14,3/SP6149,CONCORD,R,2137,RESIDENCE,1452035,,3,FLAVELLE ST,3,
,,139,12,5/SP8110,CONCORD,R,2137,RESIDENCE,1452054,,5,FLAVELLE ST,5,
,,139,10,4/SP7067,CONCORD,R,2137,RESIDENCE,1452061,,4,FLAVELLE ST,4,
,,139,8,5/SP7292,CONCORD,R,2137,RESIDENCE,1452067,,5,FLAVELLE ST,5,
,,139,8,1/SP5527,CONCORD,R,2137,RESIDENCE,1452233,,1,GALE ST,1,
,,139,14,4/SP9807,CONCORD,R,2137,RESIDENCE,1452238,,4,GALE ST,4,
,,139,19,25/SP50454,NORTH STRATHFIELD,R,2137,RESIDENCE,1452311,,25,GEORGE ST,25 A,
,,139,19,17/SP50455,NORTH STRATHFIELD,R,2137,RESIDENCE,1452351,,17,GEORGE ST,17 B,
,,139,19,6/SP50456,NORTH STRATHFIELD,R,2137,RESIDENCE,1452381,,6,GEORGE ST,6 C,
,,139,19,2/SP54010,NORTH STRATHFIELD,R,2137,RESIDENCE,1452411,,2,GEORGE ST,2 D,
,,139,19,46/SP54012,NORTH STRATHFIELD,3,2137,CAR SPACE,1452426,,46,GEORGE ST,46 F,
,,139,19,1/SP54013,NORTH STRATHFIELD,R,2137,RESIDENCE,1452475,,1,GEORGE ST,1 G,
,,139,19,2/SP54014,NORTH STRATHFIELD,R,2137,RESIDENCE,1452489,,2,GEORGE ST,2 H,
,,139,19,11/SP54011,NORTH STRATHFIELD,R,2137,RESIDENCE,1452503,,11,GEORGE ST,11 E,
,,139,19,29/SP55991,NORTH STRATHFIELD,R,2137,RESIDENCE,1452518,JACARANDA,29,GEORGE ST,29,
,,139,19,24/SP55992,NORTH STRATHFIELD,R,2137,RESIDENCE,1452548,KAURI,24,GEORGE ST,24,
,,139,19,19/SP55990,NORTH STRATHFIELD,3,2137,HOME UNIT,1452578,IRON BARK,19,GEORGE ST,19,
,,139,23,42/SP58766,NORTH STRATHFIELD,R,2137,RESIDENCE,1452617,,42,GEORGE ST,42,
,,139,25,8/SP22302,NORTH STRATHFIELD,R,2137,RESIDENCE,1452742,,8,GEORGE ST,8,
,,139,16,5/SP49735,CONCORD,R,2137,RESIDENCE,1452854,,5,GIPPS ST,5,
,,139,18,4/SP41298,CONCORD,R,2137,RESIDENCE,1452860,,4,GIPPS ST,4,
,,139,20,1/SP55777,CONCORD,R,2137,RESIDENCE,1452866,,1,GIPPS ST,1,
,,139,53,3/SP209515/SP2095,CONCORD,R,2137,RESIDENCE,1452913,GARAGE,15,GIPPS ST,15,
,,139,47,15/SP7771,CONCORD,R,2137,RESIDENCE,1452935,,15,GIPPS ST,15,
,,139,45,5/SP7637,CONCORD,R,2137,RESIDENCE,1452952,,5,GIPPS ST,5,
,,139,39,3/SP7772,CONCORD,R,2137,RESIDENCE,1452960,,3,GIPPS ST,3,
,,139,37,1/SP21052,CONCORD,R,2137,RESIDENCE,1452965,,1,GIPPS ST,1,
,,139,2,11/SP3129,CONCORD,R,2137,RESIDENCE,1453057,,11,GREENLEES AVE,11,
219.0,M,139,24,3/SP59016,MORTLAKE,R,2137,RESIDENCE,1453190,,3,HILLY ST,3,
119.0,M,139,36,7/SP58020,MORTLAKE,R,2137,RESIDENCE,1453221,,7,HILLY ST,7,
,,139,38,15/SP48039,MORTLAKE,R,2137,RESIDENCE,1453236,,15,HILLY ST,15,
,,139,40,8/SP64222,MORTLAKE,R,2137,RESIDENCE,1453257,,8,HILLY ST,8,
,,139,6,1/SP535572/SP53557,RHODES,3,2138,INDSTRIAL,1453811,,2,LEEDS ST,2,
,,139,23,3/SP391854/SP39185,RHODES,3,2138,COMM FACTORY,1453820,,4,LEEDS ST,4,
,,139,9,4/SP9832,RHODES,R,2138,RESIDENCE,1454033,,4,LLEWELLYN ST,4,
,,139,13,4/SP7915,RHODES,R,2138,RESIDENCE,1454042,,4,LLEWELLYN ST,4,
,,139,21,3/SP6713,RHODES,R,2138,RESIDENCE,1454056,,3,LLEWELLYN ST,3,
,,139,30,3/SP9440,RHODES,R,2138,RESIDENCE,1454119,,3,LLEWELLYN ST,3,
,,139,4,2/SP19408,RHODES,R,2138,RESIDENCE,1454136,,2,LLEWELLYN ST,2,
,,139,103,2/SP20209,CONCORD,3,2137,SHOP UNIT,1454473,,2,MAJORS BAY RD,2,
,,139,11,1/SP373204/SP52278,RHODES,3,2138,COMMERCIAL,1454737,,4,MARQUET ST,4,
204.0,M,139,13,1/SP65103,CONCORD,R,2137,RESIDENCE,1454810,,1,MELBOURNE ST,1,
,,139,26 A,2/SP60305,STRATHFIELD,R,2135,RESIDENCE,1455057,,2,COOPER ST,2,
,,139,53,2/SP196023/SP196021/SP19602,STRATHFIELD,R,2135,RESIDENCE,1455063,,1,MOSELY ST,1,
,,139,2,5/SP7214,NORTH STRATHFIELD,R,2137,RESIDENCE,1455148,,5,NAPIER ST,5,
,,139,6,2/SP42286,NORTH STRATHFIELD,R,2137,RESIDENCE,1455159,,2,NAPIER ST,2,
,,139,12,2/SP6418,NORTH STRATHFIELD,R,2137,RESIDENCE,1455167,,2,NAPIER ST,2,
,,139,14,4/SP5348,NORTH STRATHFIELD,R,2137,RESIDENCE,1455173,,4,NAPIER ST,4,
,,139,17,3/SP8491,CONCORD,R,2137,RESIDENCE,1455401,,3,NORMAN ST,3,
,,139,11,3/SP11569,CONCORD,R,2137,RESIDENCE,1455410,,3,NORMAN ST,3,
,,139,7,1/SP15175,CONCORD,R,2137,RESIDENCE,1455424,,1,NORMAN ST,1,
,,139,3,7/SP8804,CONCORD,R,2137,RESIDENCE,1455432,,7,NORMAN ST,7,
,,139,2,17/SP65078,LIBERTY GROVE,R,2138,RESIDENCE,1455484,,17,BRADLEY PL,17,
,,139,4,35/SP65828,STRATHFIELD,R,2135,RESIDENCE,1455578,CONCORD SCHOOL OF ARTS,35,PARRAMATTA RD,35,
,,139,35,15/SP63114,CABARITA,R,2137,RESIDENCE,1455683,,15,PHILLIPS ST,34,
,,139,41,5/SP61542,CABARITA,R,2137,RESIDENCE,1455684,,5,PHILLIPS ST,15,
,,139,24,2/SP8353,NORTH STRATHFIELD,R,2137,RESIDENCE,1455801,,2,PRINCESS AVE,2,
,,139,74 A,6/SP669,CONCORD WEST,R,2138,RESIDENCE,1455891,,6,QUEEN ST,6,
,,139,249,13/SP54105,CONCORD WEST,R,2138,RESIDENCE,1456020,,13,QUEEN ST,13,
